MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
477770400,2021-02-20T00:00:08,36.87992,-76.33155,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
367359930,2021-02-20T00:00:04,36.82418,-76.28912,0.0,282.5,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
366842000,2021-02-20T00:00:07,36.85381,-76.31117,0.0,0.0,42.0,CAPE RACE,IMO7616377,KAFJ,70,5,197,32,10.0,,A
366841000,2021-02-20T00:00:01,36.85329,-76.31052,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
373765000,2021-02-20T00:00:11,37.26336,-76.10550,0.0,267.2,344.0,AM CONTRECOEUR,IMO9583184,3FBX4,70,1,229,32,14.4,,A
477950300,2021-02-20T00:00:33,36.87512,-76.34932,0.0,166.6,347.0,COSCO DEVELOPMENT,IMO9472139,VRIZ9,70,5,366,48,15.5,70,A
477770400,2021-02-20T00:01:19,36.87992,-76.33157,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
636092329,2021-02-20T00:01:48,36.96287,-76.42416,0.0,35.2,39.0,BLUMENAU,IMO9605633,D5AL3,70,5,229,32,14.4,,A
356589000,2021-02-20T00:01:14,37.23811,-76.09435,0.0,121.6,338.0,DOUBLE FORTUNE,IMO9574119,3FHZ2,70,1,234,38,14.5,70,A
367821000,2021-02-20T00:01:52,36.97282,-76.43367,0.0,0.0,511.0,YANO,IMO7825409,NAQH,70,5,276,32,13.0,70,A
367822000,2021-02-20T00:02:09,36.97311,-76.43386,0.0,0.0,511.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
367359930,2021-02-20T00:02:25,36.82419,-76.28914,0.0,280.7,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
319155200,2021-02-20T00:02:34,36.87956,-76.32642,0.0,300.5,275.0,CLARA,IMO9304083,ZGII,70,5,225,32,7.3,70,A
218844000,2021-02-20T00:01:48,36.87773,-76.34998,0.0,128.0,347.0,CMA CGM IVANHOE,IMO9365805,DFPJ2,70,5,350,42,15.0,79,A
367862000,2021-02-20T00:01:31,36.94815,-76.32973,0.0,35.7,280.0,JOSHUA HUMPHREYS,IMO8302428,NNJH,80,5,193,29,,,A
368445000,2021-02-20T00:02:03,36.96308,-76.42014,0.0,55.8,188.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80,5,183,32,12.2,80,A
356643000,2021-02-20T00:02:08,36.93805,-76.37822,0.1,10.4,261.0,ARKI,IMO9561801,3ENP3,70,1,170,27,9.7,70,A
477770400,2021-02-20T00:02:30,36.87994,-76.33157,0.0,98.3,96.0,BAO MAY,IMO9410155,VRGV8,70,0,292,45,18.2,70,A
366841000,2021-02-20T00:03:00,36.85326,-76.31052,0.0,0.0,511.0,CAPE RAY,IMO7530810,KAFI,70,5,197,32,10.0,,A
367353070,2021-02-20T00:01:46,36.88665,-76.33870,0.0,127.0,10.0,EVERGREEN STATE,IMO9408138,WDE4430,80,5,183,32,11.8,89,A
