MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
259767000,2021-08-17T00:00:09,36.95800,-76.37200,5.4,261.0,261.0,BANGOR,IMO9228057,LASY7,70,0,225,32,13.9,79,A
373119000,2021-08-17T00:00:00,36.90948,-76.32713,0.0,324.0,352.0,HELSINKI BRIDGE,IMO9588081,3FIW4,70,5,334,45,14.0,73,A
229532000,2021-08-17T00:00:05,36.95384,-76.41211,6.5,98.5,101.0,SIMON LD,IMO9617521,9HA3384,70,0,292,45,18.4,70,A
367422000,2021-08-17T00:00:02,36.90566,-76.32664,0.0,181.2,352.0,DELAWARE EXPRESS,IMO9349514,WDM2180,79,5,306,40,12.6,70,A
636019094,2021-08-17T00:00:09,37.26622,-76.10635,0.0,282.0,147.0,BERGE RINJANI,IMO9579884,D5SX4,70,1,292,45,8.6,70,A
370068000,2021-08-17T00:00:01,37.14565,-76.14840,13.7,336.0,340.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,0,182,32,12.6,70,A
636019789,2021-08-17T00:00:47,37.20836,-76.09619,0.1,349.8,158.0,CL DENGSHA HE,IMO9890642,D5WE2,70,1,199,32,7.4,70,A
374308000,2021-08-17T00:00:47,37.17761,-76.12846,0.1,332.2,166.0,BLUE SAPPHIRE,IMO9877339,3EFG7,70,1,180,30,6.7,70,A
367819000,2021-08-17T00:01:00,36.93063,-76.33221,0.0,0.0,85.0,SODERMAN,IMO9232254,NANL,70,5,289,32,11.2,79,A
367359930,2021-08-17T00:00:05,36.82406,-76.28906,0.0,253.6,511.0,SUNNY WILLIAMS,,WDE4940,80,0,25,8,,80,A
229532000,2021-08-17T00:01:16,36.95347,-76.40931,7.2,92.4,94.0,SIMON LD,IMO9617521,9HA3384,70,0,292,45,18.4,70,A
370068000,2021-08-17T00:01:03,37.14949,-76.14973,13.7,348.6,349.0,CHALLENGE PEARL,IMO9367695,3ERJ6,80,0,182,32,12.6,70,A
219696000,2021-08-17T00:00:43,36.86403,-76.31521,0.0,323.4,227.0,THUNDER BIRD,IMO9318943,OWDG2,70,5,119,20,7.6,70,A
367822000,2021-08-17T00:00:17,36.97309,-76.43386,0.0,0.0,0.0,USNS SHUGHART,IMO7825394,NAOQ,70,5,276,32,13.0,70,A
369854000,2021-08-17T00:00:56,36.85714,-76.32778,0.0,148.0,81.0,LEWIS AND CLARK,IMO9271418,NLNC,70,5,210,32,9.3,90,A
