safety_stock,capacity_utilization,fill_rate,backlog_weeks,supplier_risk,inventory_on_hand,holding_cost_weekly,stockout_risk,weekly_demand,lead_time_days,unit_cost
3545.7076,0.6985,0.9197,0.5104,0.4684,10010.3161,13080.6661,0.0463,629.5103,26.0028,24.8147
3389.7099,0.6935,0.9171,0.4792,0.4205,10159.1915,13011.6075,0.0453,596.9594,24.7005,24.8958
3502.2776,0.6993,0.9158,0.4814,0.4644,10003.8912,13011.9359,0.0547,621.5986,25.2742,25.2427
3643.3623,0.7114,0.9162,0.4972,0.4619,9522.6729,12884.7367,0.0512,666.7575,24.5422,26.0003
3350.7071,0.7167,0.9021,0.4732,0.4527,9514.896,12613.3328,0.0644,662.1996,24.698,24.2517
3155.3801,0.7034,0.9032,0.4579,0.4186,9948.0551,12732.0667,0.06,628.5933,23.9911,23.8681
3174.5562,0.6816,0.9073,0.3948,0.4798,10177.3822,12893.723,0.0608,595.614,24.3254,23.3036
3127.1198,0.6817,0.9002,0.3953,0.472,10051.1884,12689.4311,0.0673,621.6378,23.6824,22.537
3124.5996,0.6847,0.8865,0.4166,0.4506,9693.8804,12383.1746,0.0763,651.3679,23.4644,22.2068
2996.643,0.6963,0.872,0.4561,0.433,9489.987,12615.1348,0.0863,673.0941,23.5753,24.0007
3128.5527,0.6881,0.8761,0.4576,0.4596,9595.6026,12507.9748,0.0808,646.4737,25.0394,22.9617
3245.2215,0.6969,0.8805,0.4744,0.4779,9478.3054,12788.6753,0.0795,655.7602,26.8161,24.1237
3255.1261,0.6951,0.8807,0.4577,0.4985,9540.636,12561.5836,0.0775,660.4276,27.3845,22.1042
3424.2123,0.6995,0.8892,0.465,0.5201,9261.1904,12413.858,0.0667,669.1751,27.2667,21.7024
3494.3387,0.7167,0.8831,0.4531,0.6272,9025.7497,12494.6386,0.0658,704.0323,28.0746,21.8977
3365.4448,0.7173,0.8705,0.4112,0.6068,8980.4914,12474.1492,0.0753,712.9761,27.8528,22.6011
